player_name,team,season,contract_average,cap_hit,cap_percentage
Saquon Barkley,PHI,2025,20600000,DNQ,DNQ
Christian McCaffrey,SF,2025,19000000,DNQ,DNQ
Derrick Henry,BAL,2025,15000000,DNQ,DNQ
Jonathan Taylor,IND,2025,14000000,15564520,6.23
Alvin Kamara,NO,2025,12250000,9708471,4.8
Josh Jacobs,GB,2025,DNQ,11325000,4.7
Joe Mixon,HOU,2025,DNQ,9420270,3.33
D'Andre Swift,CHI,2025,DNQ,9333333,3.13
Christian McCaffrey,SF,2024,19000000,6329647,7.44
Jonathan Taylor,IND,2024,14000000,10666000,6.23
Saquon Barkley,PHI,2024,12583333,DNQ,DNQ
Alvin Kamara,NO,2024,12250000,16163824,4.8
Josh Jacobs,GB,2024,12000000,DNQ,DNQ
James Conner,ARI,2024,DNQ,11232560,3.72
Miles Sanders,CAR,2024,DNQ,7695000,2.82
Christian McCaffrey,SF,2023,16015875,DNQ,DNQ
Alvin Kamara,NO,2023,15000000,DNQ,DNQ
Jonathan Taylor,IND,2023,14000000,DNQ,DNQ
Derrick Henry,TEN,2023,12500000,16367647,6.31
Nick Chubb,CLE,2023,12200000,14850000,6.68
Josh Jacobs,LV,2023,DNQ,11391000,5.25
Saquon Barkley,NYG,2023,DNQ,10091000,4.49
Tony Pollard,DAL,2023,DNQ,10091000,4.49
Christian McCaffrey,SF,2022,16015875,DNQ,DNQ
Ezekiel Elliott,DAL,2022,15000000,18220000,7.97
Alvin Kamara,NO,2022,15000000,DNQ,DNQ
Dalvin Cook,MIN,2022,12600000,11883625,6.36
Derrick Henry,TEN,2022,12500000,9367647,6.31
Joe Mixon,CIN,2022,DNQ,11420589,6.05
Saquon Barkley,NYG,2022,DNQ,7217000,4.4
Christian McCaffrey,CAR,2021,16015875,6899500,8.08
Ezekiel Elliott,DAL,2021,15000000,DNQ,DNQ
Alvin Kamara,NO,2021,15000000,DNQ,DNQ
Dalvin Cook,MIN,2021,12600000,DNQ,DNQ
Derrick Henry,TEN,2021,12500000,13500000,6.31
Saquon Barkley,NYG,2021,DNQ,10025602,4.4
Melvin Gordon,DEN,2021,DNQ,8941176,4.04
Joe Mixon,CIN,2021,DNQ,8126471,6.05
Christian McCaffrey,CAR,2020,16015875,7794782,8.08
Ezekiel Elliott,DAL,2020,15000000,10900000,7.79
Alvin Kamara,NO,2020,15000000,DNQ,DNQ
David Johnson,HOU,2020,13000000,11062500,7.34
Dalvin Cook,MIN,2020,12600000,DNQ,DNQ
Saquon Barkley,NYG,2020,DNQ,8597659,4.4
Kenyan Drake,ARI,2020,DNQ,8483000,4.28
Ezekiel Elliott,DAL,2019,15000000,DNQ,DNQ
Todd Gurley,LAR,2019,14375000,9200000,8.11
Le'Veon Bell,NYJ,2019,13125000,8968750,6.97
David Johnson,ARI,2019,13000000,9656250,7.34
Devonta Freeman,ATL,2019,8250000,DNQ,DNQ
Leonard Fournette,JAX,2019,DNQ,7404774,4.06
Lamar Miller,HOU,2019,DNQ,7203125,4.19
Todd Gurley,LAR,2018,14375000,7228306,8.11
David Johnson,ARI,2018,13000000,DNQ,DNQ
Devonta Freeman,ATL,2018,8250000,DNQ,DNQ
LeSean McCoy,BUF,2018,8000000,8950000,5.58
Saquon Barkley,NYG,2018,7798688,DNQ,DNQ
Ezekiel Elliott,DAL,2018,DNQ,6806274,4.02
Lamar Miller,HOU,2018,DNQ,6703125,4.19
Jerick McKinnon,SF,2018,DNQ,6500000,4.23
Le'Veon Bell,PIT,2017,12120000,12120000,DNQ
Devonta Freeman,ATL,2017,8250000,DNQ,DNQ
LeSean McCoy,BUF,2017,8000000,10375000,5.58
Jonathan Stewart,CAR,2017,8000000,6175000,4.79
Doug Martin,TB,2017,7150000,DNQ,DNQ
DeMarco Murray,TEN,2017,DNQ,6950000,4.07
Lamar Miller,HOU,2017,DNQ,6500000,4.19
Adrian Peterson,MIN,2016,14000000,12000000,9.77
Jamaal Charles,KC,2016,9050000,DNQ,DNQ
LeSean McCoy,BUF,2016,8000000,7675000,5.58
Jonathan Stewart,CAR,2016,7300000,9550000,6.05
Doug Martin,TB,2016,7150000,7764706,4.6
C.J. Anderson,DEN,2016,DNQ,6000000,2.9
Adrian Peterson,MIN,2015,14000000,15400000,9.77
Marshawn Lynch,SEA,2015,12000000,8500000,8.38
Jamaal Charles,KC,2015,9050000,DNQ,DNQ
Arian Foster,HOU,2015,8700000,8706250,7.21
LeSean McCoy,BUF,2015,8000000,DNQ,DNQ
Matt Forte,CHI,2015,9200000,DNQ,DNQ
Jonathan Stewart,CAR,2015,DNQ,8300000,6.05
Adrian Peterson,MIN,2014,14380000,14400000,11.95
Jamaal Charles,KC,2014,9050000,9633333,6.8
LeSean McCoy,PHI,2014,9000000,9700000,7.46
Arian Foster,HOU,2014,8700000,8300000,7.21
Matt Forte,CHI,2014,7600000,DNQ,DNQ
Marshawn Lynch,SEA,2014,DNQ,8000000,6.22
Adrian Peterson,MIN,2013,14380000,13900000,11.95
Chris Johnson,TEN,2013,13493750,12000000,11.21
LeSean McCoy,PHI,2013,9000000,DNQ,DNQ
Arian Foster,HOU,2013,8700000,8250000,7.21
Matt Forte,CHI,2013,7600000,DNQ,DNQ
Darren McFadden,OAK,2013,DNQ,9685084,6.04
Adrian Peterson,MIN,2012,14380000,12705000,11.95
Chris Johnson,TEN,2012,DNQ,11370002,11.21
LeSean McCoy,PHI,2012,9000000,DNQ,DNQ
Arian Foster,HOU,2012,8700000,DNQ,DNQ
DeAngelo Williams,CAR,2012,8600000,8700000,7.14
Darren McFadden,OAK,2012,DNQ,9478833,6.04
Steven Jackson,STL,2012,DNQ,9279000,6.44
Adrian Peterson,MIN,2011,14380000,12955000,11.95
Chris Johnson,TEN,2011,13493750,DNQ,DNQ
DeAngelo Williams,CAR,2011,8600000,7700000,7.14
Steven Jackson,STL,2011,7467500,9479000,6.44
Darren McFadden,OAK,2011,7007292,10873833,6.04
Michael Turner,ATL,2011,DNQ,7500000,4.96
