No.,Date,Site,Winner,Loser,Winner Score,Loser Score
NO.,DATE,SITE,,,,
I,"Jan. 15, 1967",Los Angeles Memorial Coliseum,Green Bay,Kansas City,35,10
II,"Jan. 14, 1968",Orange Bowl (Miami),Green Bay,Oakland,33,14
III,"Jan. 12, 1969",Orange Bowl (Miami),New York Jets,Baltimore,16,7
IV,"Jan. 11, 1970",Tulane Stadium (New Orleans),Kansas City,Minnesota,23,7
V,"Jan. 17, 1971",Orange Bowl (Miami),Baltimore,Dallas,16,13
VI,"Jan. 16, 1972",Tulane Stadium (New Orleans),Dallas,Miami,24,3
VII,"Jan. 14, 1973",Los Angeles Memorial Coliseum,Miami,Washington,14,7
VIII,"Jan. 13, 1974",Rice Stadium (Houston),Miami,Minnesota,24,7
IX,"Jan. 12, 1975",Tulane Stadium (New Orleans),Pittsburgh,Minnesota,16,6
X,"Jan. 18, 1976",Orange Bowl (Miami),Pittsburgh,Dallas,21,17
XI,"Jan. 9, 1977","Rose Bowl (Pasadena, Calif.)",Oakland,Minnesota,32,14
XII,"Jan. 15, 1978",Superdome (New Orleans),Dallas,Denver,27,10
XIII,"Jan. 21, 1979",Orange Bowl (Miami),Pittsburgh,Dallas,35,31
XIV,"Jan. 20, 1980","Rose Bowl (Pasadena, Calif.)",Pittsburgh,Los Angeles Rams,31,19
XV,"Jan. 25, 1981",Superdome (New Orleans),Oakland,Philadelphia,27,10
XVI,"Jan. 24, 1982","Silverdome (Pontiac, Mich.)",San Francisco,Cincinnati,26,21
XVII,"Jan. 30, 1983","Rose Bowl (Pasadena, Calif.)",Washington,Miami,27,17
XVIII,"Jan. 22, 1984",Tampa (Fla.) Stadium,Los Angeles Raiders,Washington,38,9
XIX,"Jan. 20, 1985",Stanford (Calif.) Stadium,San Francisco,Miami,38,16
XX,"Jan. 26, 1986",Superdome (New Orleans),Chicago,New England,46,10
XXI,"Jan. 25, 1987","Rose Bowl (Pasadena, Calif.)",New York Giants,Denver,39,20
XXII,"Jan. 31, 1988",Jack Murphy Stadium (San Diego),Washington,Denver,42,10
XXIII,"Jan. 22, 1989",Joe Robbie Stadium (Miami),San Francisco,Cincinnati,20,16
XXIV,"Jan. 28, 1990",Superdome (New Orleans),San Francisco,Denver,55,10
XXV,"Jan. 27, 1991",Tampa (Fla.) Stadium,New York Giants,Buffalo,20,19
XXVI,"Jan. 26, 1992",Metrodome (Minneapolis),Washington,Buffalo,37,24
XXVII,"Jan. 31, 1993","Rose Bowl (Pasadena, Calif.)",Dallas,Buffalo,52,17
